Year,Yield
1800,1.7841113570182785
1801,1.5010182660068205
1802,1.1986185024307847
1803,1.7732418753343184
1804,1.89602489357844
1805,1.6176635707598137
1806,1.4558012642183678
1807,2.0489560203703423
1808,1.4985825196083633
1809,1.8069882939474367
1810,1.5849523764464148
1811,1.4174238968800805
1812,2.1437534881629885
1813,2.1657409654437734
1814,1.7793270571687416
1815,1.9656245448074523
1816,1.9842393940348908
1817,2.0798639701597006
1818,2.007366879755446
1819,2.1313069070995634
1820,2.3824378370836103
1821,2.5172842759781995
1822,2.3384449592671395
1823,2.121606379289296
1824,2.181432473554609
1825,2.1945136815168875
1826,2.568927906271374
1827,2.155120302127896
1828,2.0970526838773567
1829,2.5013927250020176
1830,2.555961932682414
1831,1.8509414097077204
1832,2.390091317153257
1833,2.487506959912538
1834,1.960021614843018
1835,2.565276332390382
1836,2.408958260671938
1837,2.649747007995987
1838,2.4659132543053017
1839,2.1509671288998713
1840,2.391837282380855
1841,2.583886110216176
1842,2.7443152304871514
1843,2.4914005679401114
1844,2.4661379680370006
1845,2.8518625827395256
1846,2.718727917334133
1847,2.759512770984556
1848,3.1350867928863106
1849,2.7958527819855528
1850,2.525383542662627
1851,2.611836831797095
1852,2.9126251243037187
1853,2.967221074716567
1854,2.8120925105214973
1855,2.518324060378481
1856,2.5934733336553615
1857,3.3443082722538713
1858,3.1337333227463366
1859,3.051472572435906
1860,2.7141811794086745
1861,3.0152649947899994
1862,2.7088939723744616
1863,3.067484978039828
1864,3.4658812821742546
1865,3.0766917449665936
1866,2.8886381498090863
1867,3.2446475439077815
1868,2.7098211538849957
1869,3.3288351217087087
1870,3.1434650328603433
1871,3.049879192929431
1872,3.339029080222981
1873,3.559644300506267
1874,3.106534158691122
1875,3.3341590303475
1876,3.253282227478408
1877,3.2555785137090485
1878,3.2038639339936665
1879,3.645861898454712
1880,3.1598200805729073
1881,3.5524310331904982
1882,3.4849314814720294
1883,3.7862828073119905
1884,3.661294125531284
1885,3.7615445534228034
1886,3.9202443886296536
1887,4.061842736052642
1888,4.065048551072082
1889,3.7008274561310994
1890,3.9898653670593656
1891,3.6250383565772686
1892,3.779501105616102
1893,4.074960729108421
1894,4.162112937322795
1895,3.72103033251154
1896,3.5727965667683383
1897,4.104867903006507
1898,3.7010332886887154
1899,4.0238118296204926
1900,4.1260698030347
1901,4.033110691057018
1902,4.315560337840138
1903,4.362489230028
1904,4.259586282339225
1905,4.117975884500029
1906,4.0931630881620515
1907,4.629286923359143
1908,4.132150410482073
1909,4.63091510096613
1910,4.202914669235159
1911,4.2889191680376095
1912,3.946513729764015
1913,4.5190129496617
1914,4.338917326393469
1915,4.27516339022468
1916,4.075533407763596
1917,4.604330782134443
1918,4.401645785238677
1919,4.882829591764648
1920,4.6584679186218825
1921,4.526160571803257
1922,4.541632449076674
1923,4.485450394281175
1924,4.635138291186137
1925,4.229583181273641
1926,5.386956624940032
1927,4.391800398714903
1928,5.059140703392342
1929,4.402885053668103
1930,5.432519469267141
1931,5.043638320800716
1932,5.206642158133704
1933,4.6808270305672
1934,5.367394372657065
1935,4.755703376427269
1936,4.904131360128257
1937,5.4255922730648685
1938,4.875109280406669
1939,4.889761262811155
1940,5.751382963456914
1941,4.982793652669715
1942,5.044816483127707
1943,5.461208947778124
1944,5.173957089820698
1945,4.787363346915313
1946,5.3277297056654636
1947,5.115907368664927
1948,5.001745877562936
1949,5.372164309058972
1950,5.612606959677399
1951,5.303355860824637
1952,5.464201074400534
1953,5.526697716079864
1954,5.774805426042715
1955,5.310646647286262
1956,5.608591128599013
1957,5.555800100630784
1958,5.323757685330881
1959,5.606715607421211
1960,5.724254639656814
1961,5.185372428849462
1962,5.153404696635779
1963,5.718767271159481
1964,5.398266619237225
1965,5.888334083872478
1966,5.890199579245615
1967,5.785129349157513
1968,5.097789620576542
1969,5.85271448822348
1970,6.31080910046853
1971,6.350923273329801
1972,5.819744004498557
1973,5.262479774285244
1974,5.783756454277135
1975,5.959472089822178
1976,6.163378964886185
1977,5.960868866480071
1978,5.291726007610507
1979,6.113834724108449
1980,6.239847432963623
1981,6.482075034342852
1982,6.011961255585449
1983,5.624234036742318
1984,6.59030113941452
1985,6.446190622131827
1986,5.880303635824886
1987,6.070147734630551
1988,6.3578881770490705
1989,6.088702459472944
1990,6.301423998748239
1991,5.8761367978124275
1992,6.438435060296746
1993,6.264799078170584
1994,6.654390437872604
1995,6.174576077744358
1996,6.563291724598678
1997,6.298391266802176
1998,6.459051967661986
1999,6.673368516532597
2000,6.496036222283548
2001,6.3056321398932
2002,6.862205833283173
2003,6.3815551403868565
2004,6.786482844527179
2005,6.318871206627568
2006,6.797645535446729
2007,6.442602424759811
2008,6.637796987318705
2009,6.647808468418166
2010,7.2949040082889445
2011,6.9254353377467055
2012,6.567892914297957
2013,6.895834670975991
2014,7.001354584251126
2015,6.715637569250187
2016,6.739221572321072
2017,6.827919469573602
2018,7.048307815401304
2019,6.933297904033922
2020,6.766866806335361
2021,6.7957527003022085
2022,6.834061232332939
2023,7.193382954422713
2024,6.933603523104227
