Year,Yield
1800,1.024995866067417
1801,1.0974202190536972
1802,1.340354088160565
1803,1.5640211909517658
1804,1.0410849793871808
1805,1.36264796281451
1806,1.298803040521748
1807,1.2558871252925523
1808,1.2236640806484114
1809,0.9952641727913288
1810,1.0312174420258373
1811,1.3835678569073047
1812,1.369753203349992
1813,0.9425878966206866
1814,1.2330953619342133
1815,1.0940156489922068
1816,1.3242932109132635
1817,1.5390250056353767
1818,1.28351966228687
1819,1.7207239922500013
1820,1.4331952111864228
1821,1.9198819177165491
1822,1.4997314664758363
1823,1.276260272643312
1824,1.5489271508112157
1825,1.4126794827630291
1826,1.7503671673969405
1827,1.7703269336791287
1828,1.4499923524615677
1829,1.5008832178299345
1830,1.5768555560015245
1831,1.6005709629106935
1832,1.6497996076278483
1833,1.4053291927846776
1834,1.937434735233195
1835,1.7145251554315002
1836,1.5796097494590358
1837,1.598055829126001
1838,1.7973223891024135
1839,1.8135130486768676
1840,1.7183901296284039
1841,1.744385193961481
1842,1.8512856212566924
1843,1.9614820124225234
1844,1.4967511974241967
1845,1.779290203605628
1846,2.227263951133334
1847,1.8475735277721088
1848,2.2293009303312483
1849,2.0340852497934376
1850,2.0757120321908724
1851,2.21187295201161
1852,2.1358503468018966
1853,2.1720533738484744
1854,2.037721806005328
1855,2.5383444278410225
1856,2.444780763159779
1857,1.8329163589686501
1858,2.17306895822882
1859,2.259378198551119
1860,2.2524731733217878
1861,2.1443150676631153
1862,2.4043835273464826
1863,2.6327765918560564
1864,2.0975482449019713
1865,2.4758683828897903
1866,2.1089010086841307
1867,2.2095516192340843
1868,2.4633407435508365
1869,2.3957975360444785
1870,2.7277296822298576
1871,2.7368998858302387
1872,2.560581430529208
1873,2.707011560692225
1874,2.5326726703393487
1875,2.626732081484305
1876,2.3636988170546545
1877,2.8858501514316233
1878,2.6058110241199284
1879,2.714022129532665
1880,2.535831679767064
1881,2.7204300006897673
1882,2.435072303485544
1883,2.4538952644735565
1884,2.123089048302645
1885,2.3911269405494
1886,2.3223583407040946
1887,2.8434419722782955
1888,2.661757327588265
1889,2.941692108878228
1890,2.928251932511239
1891,3.0368746683213934
1892,2.779188815659542
1893,2.8848660743306933
1894,2.9165544791399087
1895,2.673870575816882
1896,3.0487338566657294
1897,3.271481709932749
1898,3.0373210882789023
1899,2.8018057649902097
1900,2.9123430539530335
1901,3.5023032305299733
1902,2.9638485845942446
1903,2.9557319779840654
1904,3.0530127096582036
1905,2.811420119315738
1906,3.056074479759159
1907,3.0255692155633827
1908,3.336998691470092
1909,3.0211034943102346
1910,3.100501497753205
1911,3.187822628486605
1912,3.3310087818709326
1913,3.288643701238556
1914,2.8507312414389596
1915,3.4812614019979744
1916,3.49021458656244
1917,3.367391123551813
1918,3.5276319234546634
1919,3.213136284580383
1920,3.057710213918587
1921,3.351020774671898
1922,3.701078304850727
1923,3.911521691836633
1924,3.252633612348116
1925,3.7546964750990703
1926,3.4306008782271005
1927,3.359850483443825
1928,3.672627195462378
1929,3.6399908427091536
1930,3.349850779992741
1931,3.5911785211893426
1932,3.4729935710976134
1933,3.8322467295013163
1934,3.5157918725673656
1935,3.627079559171733
1936,3.9786110106705044
1937,3.633332776347307
1938,3.8289515544478405
1939,3.8475619013803004
1940,3.650327719449682
1941,4.016500690562191
1942,4.108523446323543
1943,3.9751484894105893
1944,3.78141302216017
1945,3.6167057919841987
1946,3.6439348415219617
1947,3.6054225896481418
1948,4.009948801981465
1949,4.04318374396578
1950,4.121787546394088
1951,4.004081370897745
1952,3.917615834140168
1953,4.737322712291964
1954,3.9630356916611222
1955,4.165378307256355
1956,4.168639172047893
1957,3.9831109408566077
1958,4.075559014091238
1959,4.042995609518942
1960,3.9332073728362125
1961,4.142109255367676
1962,4.562063321178826
1963,4.115374673750724
1964,4.657325509854472
1965,4.325921866533042
1966,4.511186009996918
1967,4.1896044031075474
1968,4.095404951617532
1969,4.377761837616196
1970,4.322777835832633
1971,4.547935547406169
1972,4.5333716220729405
1973,4.349792355799183
1974,4.963474385034931
1975,4.616438666034754
1976,4.757732233461146
1977,4.748350392684236
1978,4.077968162094513
1979,4.7258469338725
1980,4.640170141018149
1981,4.670882395351697
1982,4.561735552409159
1983,5.019364650108835
1984,4.592267038744076
1985,4.530495302765333
1986,4.759393731670534
1987,4.80008713295095
1988,4.433274908738926
1989,4.728109602530412
1990,4.519619921019814
1991,4.800955724117486
1992,4.993984991514325
1993,4.942447477207127
1994,4.639124885237869
1995,4.759575746556847
1996,4.953210502962184
1997,4.827871865513677
1998,5.229247898330113
1999,4.966084183519424
2000,5.065667379298894
2001,5.00115858213162
2002,5.03530935538738
2003,5.126889140122082
2004,4.845389465309903
2005,5.467196232125261
2006,5.075264126178556
2007,5.28437699125503
2008,5.45675425361488
2009,4.821708271904888
2010,4.866482624841711
2011,5.466347227951169
2012,5.534108780406463
2013,5.183523575454579
2014,5.262004146036446
2015,5.2603306709540725
2016,5.264890860030201
2017,5.289465911029199
2018,5.084474135704536
2019,5.436590831572823
2020,5.381168724430646
2021,5.9692712846961395
2022,5.379222651794643
2023,5.393844481546602
2024,5.5446445735081875
